rank,folder,model,config_name,recall,f1,cost,train_size
27,027_xgboost_phishing_mixed_features_10000,xgboost,phishing_mixed_features,0.9895635673624289,0.9595216191352346,0.0935,10000
28,028_xgboost_phishing_advanced_10000,xgboost,phishing_advanced,0.9895635673624289,0.9599631845375057,0.093,10000
29,029_xgboost_phishing_mixed_features_10000,xgboost,phishing_mixed_features,0.9895635673624289,0.9604051565377533,0.0925,10000
30,030_logistic_regression_phishing_count_vector_10000,logistic_regression,phishing_count_vector,0.9895635673624289,0.9756782039289055,0.0755,10000
31,031_xgboost_phishing_char_ngram_30000,xgboost,phishing_char_ngram,0.9895635673624289,0.9802631578947368,0.0705,30000
32,032_lightgbm_phishing_char_ngram_10000,lightgbm,phishing_char_ngram,0.9886148007590133,0.9825553983969826,0.0725,10000
33,033_xgboost_phishing_stem_nostop_10000,xgboost,phishing_stem_nostop,0.9886148007590133,0.9577205882352942,0.1,10000
34,034_lightgbm_phishing_char_ngram_10000,lightgbm,phishing_char_ngram,0.9886148007590133,0.9834827748938179,0.0715,10000
35,035_xgboost_phishing_stem_nostop_10000,xgboost,phishing_stem_nostop,0.9886148007590133,0.9594843462246777,0.098,10000
36,036_logistic_regression_phishing_count_vector_10000,logistic_regression,phishing_count_vector,0.9876660341555977,0.9738072965388214,0.0865,10000
37,037_lightgbm_basic_phishing_10000,lightgbm,basic_phishing,0.9876660341555977,0.9793038570084666,0.0805,10000
38,038_xgboost_phishing_advanced_10000,xgboost,phishing_advanced,0.9876660341555977,0.9607752653437933,0.101,10000
39,039_xgboost_phishing_mixed_features_10000,xgboost,phishing_mixed_features,0.9876660341555977,0.9590050667894979,0.103,10000
40,040_xgboost_phishing_advanced_10000,xgboost,phishing_advanced,0.9867172675521821,0.9598523304107061,0.1065,10000
41,041_lightgbm_phishing_count_vector_10000,lightgbm,phishing_count_vector,0.9867172675521821,0.9792843691148776,0.085,10000
42,042_lightgbm_basic_phishing_10000,lightgbm,basic_phishing,0.9867172675521821,0.9779031499764927,0.0865,10000
43,043_lightgbm_phishing_trigram_10000,lightgbm,phishing_trigram,0.9867172675521821,0.9779031499764927,0.0865,10000
44,044_xgboost_phishing_char_ngram_10000,xgboost,phishing_char_ngram,0.9867172675521821,0.9806694955209807,0.0835,10000
45,045_lightgbm_phishing_count_vector_10000,lightgbm,phishing_count_vector,0.9867172675521821,0.9797456429580782,0.0845,10000
46,046_xgboost_basic_phishing_10000,xgboost,basic_phishing,0.9857685009487666,0.9656133828996283,0.1045,10000
47,047_lightgbm_phishing_trigram_10000,lightgbm,phishing_trigram,0.9857685009487666,0.9765037593984962,0.0925,10000
48,048_lightgbm_phishing_char_ngram_10000,lightgbm,phishing_char_ngram,0.9857685009487666,0.9815777042985356,0.087,10000
49,049_lightgbm_basic_phishing_10000,lightgbm,basic_phishing,0.9848197343453511,0.9760225669957687,0.0975,10000
50,050_lightgbm_phishing_trigram_10000,lightgbm,phishing_trigram,0.9848197343453511,0.9778615167216204,0.0955,10000
51,051_lightgbm_phishing_count_vector_10000,lightgbm,phishing_count_vector,0.9848197343453511,0.9792452830188679,0.094,10000
52,052_xgboost_phishing_stem_nostop_10000,xgboost,phishing_stem_nostop,0.9848197343453511,0.9580064605445316,0.1175,10000
53,053_lightgbm_phishing_stem_nostop_10000,lightgbm,phishing_stem_nostop,0.9838709677419355,0.9714285714285714,0.107,10000
